CODMUN,longitude,latitude
41791,-75.82435105,2.111387167
41797,-75.72738961,2.485836919
41799,-75.13899165,3.067573035
41801,-75.56767098,2.741175567
41807,-75.93229976,1.974228287
41872,-75.21808147,3.219217123
41885,-75.51824051,2.664716428
41006,-75.88839357,1.805464831
41013,-75.77165343,2.258758434
41548,-75.804675,2.266877926
41551,-76.04921834,1.853010381
41615,-75.25843841,2.777899318
41660,-76.04526802,1.993127133
52019,-77.08121438,1.473900561
52022,-77.70033514,0.882218625
52036,-77.51456679,1.262419775
41483,-75.8089956,2.545725329
41503,-75.99519911,2.025490916
41518,-75.77381966,2.449957173
41524,-75.43416257,2.886813591
41530,-76.13297473,1.723443516
41668,-76.27007067,1.879911641
41676,-75.58661009,2.9389875
41770,-75.79461293,1.976866037
52110,-77.15641849,1.38472601
52203,-77.01970668,1.643958171
52207,-77.465976,1.20721755
52210,-77.54989127,0.910935671
52215,-77.51793579,0.853486374
52224,-77.72965272,0.863020184
52227,-77.79201999,0.906233661
52233,-77.57837924,1.647639493
52240,-77.28521697,1.375742304
52250,-78.11078128,2.478002829
52254,-77.4397887,1.45360072
52256,-77.33508874,1.743167441
52258,-77.09730164,1.427253877
52260,-77.39070472,1.407949861
52287,-77.44933409,1.001090744
52317,-77.7316254,0.960341972
52320,-77.54983451,1.130627655
52323,-77.56857183,0.919256362
52352,-77.52135525,0.968467099
52354,-77.49651826,1.055154635
52378,-76.97127564,1.600581484
52381,-77.40228478,1.297597199
52385,-77.57995163,1.472891149
52390,-78.19014432,2.399200239
52083,-77.01624089,1.59560228
52399,-77.13061671,1.598961296
52405,-77.30300352,1.93545478
52411,-77.52350795,1.351095828
52418,-77.52103874,1.494173041
52427,-78.18424623,1.766101492
52435,-77.8646133,1.14081759
52473,-78.45130408,2.509204973
52490,-78.32672987,2.348459251
52506,-77.56603016,1.058501059
52520,-78.65815889,2.03987219
52540,-77.45989445,1.628460248
52560,-77.5724836,0.806717189
52696,-77.9798522,2.450728884
52699,-77.6772494,1.221617473
52720,-77.62093636,1.037684345
52786,-77.28069475,1.570084377
52788,-77.39439622,1.094502616
52480,-77.3581187,1.289509773
86568,-76.49781268,0.50417661
63212,-75.68744921,4.392830917
63302,-75.79002685,4.206553134
63401,-75.78706668,4.453159884
63470,-75.75041638,4.565758526
63548,-75.70318273,4.334447832
73024,-74.93264376,3.39178072
73026,-74.95417882,4.567335816
73067,-75.38240686,3.591132652
73124,-75.43082055,4.439497212
73148,-74.71720047,4.150573808
73168,-75.48087448,3.723983333
73200,-74.8977117,4.285881334
19022,-76.85487267,1.914230494
19050,-77.2490143,2.255507382
19075,-77.21648454,2.041352148
73217,-75.19410502,3.798452204
73226,-74.69237039,4.060242157
73236,-74.89676225,3.539184743
73268,-74.88448075,4.150308528
73275,-74.81786143,4.277842434
73319,-74.97148095,4.029950385
73352,-74.53191245,4.17626096
73449,-74.64518941,4.204011856
73483,-75.09298529,3.624759543
73504,-75.22076272,3.935029466
73547,-74.87810808,4.543579976
73555,-75.64382411,3.197179978
73563,-74.92756913,3.750751129
73585,-74.93083726,3.858175719
73616,-75.64463325,3.530170157
73622,-75.60611066,4.011184578
73624,-75.2406649,4.239454647
73671,-75.01733795,3.929749857
73675,-75.47934695,3.914389148
73678,-75.09526131,4.132992695
73770,-74.83183366,4.047478307
73854,-75.11557006,4.19746205
73873,-74.60055125,3.937119922
86001,-76.64995628,1.150325171
86219,-76.97250614,1.18953054
86320,-76.88057285,0.677513665
86569,-76.60442607,0.684157306
86571,-76.40799064,0.963488079
86749,-76.92095562,1.203117616
86755,-76.87585338,1.176698941
86757,-76.93019461,0.276474836
86760,-77.00247232,1.146531255
86865,-76.90470759,0.423350327
86885,-76.61677569,1.02990947
97001,-70.23362305,1.254060702
97161,-71.29583389,1.012103616
50287,-73.61955945,3.462214362
50400,-74.02472991,3.526079627
50251,-73.79425702,3.563881546
50313,-73.70627749,3.544874225
50680,-73.24154225,3.710369274
50689,-73.69597915,3.701613502
50270,-73.83516911,3.739131544
50223,-73.83848709,3.794158472
50150,-73.68902144,3.82748251
50318,-73.77083737,3.879885131
91536,-71.75460172,-2.149537923
97666,-69.63403372,-0.56467446
25740,-74.25757291,4.49129757
94343,-69.81507388,3.494365009
94883,-67.07953782,1.898553404
94886,-67.4125554,3.526136619
94001,-67.92386589,3.867934176
25151,-73.94658443,4.403667486
25178,-74.04460891,4.442532263
25181,-73.92268602,4.528358057
50350,-73.78691359,2.182113956
50450,-72.75710138,2.623799012
50325,-72.13325166,2.892011286
50590,-73.20748882,2.941654469
50711,-73.75128309,3.12771952
50577,-73.37256465,3.271892128
50683,-73.87499562,3.37228525
50330,-74.04437194,3.382246905
50006,-73.76780937,3.990343882
50573,-72.95586872,4.092860555
50001,-73.65055075,4.111799377
50606,-73.56348624,4.261174757
50226,-73.48615275,4.268788883
50124,-72.79275183,4.285091091
50568,-72.08296467,4.312038456
50245,-73.71346523,4.352173288
50686,-73.67627447,4.458193807
50110,-72.96546299,4.567446679
25754,-74.22417846,4.56268246
25335,-73.81704211,4.217072057
25339,-74.00315011,4.255454591
25438,-73.3501414,4.508022687
25279,-73.89292051,4.485728461
25281,-73.93930566,4.338738028
25530,-73.21230213,4.375004374
25594,-73.86294541,4.329848086
25841,-73.9341846,4.483791064
25845,-74.02519387,4.402564723
91001,-69.94550213,-4.203203892
91540,-70.35643753,-3.789898495
91798,-69.74161524,-2.891357241
91263,-73.20927867,-1.74708168
91530,-74.01433125,-1.005488913
91405,-72.78920811,-1.443690917
91407,-69.57839951,-1.322435781
91669,-72.38325603,-0.622290435
99773,-69.79855397,4.444511544
95001,-72.63827352,2.566984746
95015,-72.6549567,1.958593541
95025,-72.62797003,2.330805259
95200,-71.95125353,1.336803343
5873,-76.89637517,6.588734326
27075,-77.40379934,6.224409281
27077,-77.36601204,4.953454213
27099,-76.89511656,6.568944429
27135,-76.72724289,5.335328467
27160,-76.60859157,5.371869757
27205,-76.65041938,5.091332849
27361,-76.686044,5.153281441
27413,-76.54254846,5.499904234
27425,-76.78118809,5.994316213
27430,-77.05220932,5.050773304
27491,-76.60709069,4.956037283
27495,-77.266578,5.708557739
27580,-76.47236056,5.185409754
27001,-76.65069683,5.68418034
27025,-76.97466051,5.516077312
27050,-76.63609193,5.530768033
27073,-76.41598377,5.411658353
27600,-76.73926741,5.48338233
27745,-76.64409966,4.653165974
27787,-76.55894668,5.264411843
27810,-76.6293712,5.281265958
27450,-76.69555192,5.09655112
5284,-76.13125145,6.775527538
5004,-76.06478052,6.633806054
5847,-76.13226736,6.313944318
5001,-75.55169559,6.290507178
5360,-75.6284342,6.166018912
5266,-75.57280089,6.16876664
5088,-75.54449207,6.327056194
5628,-75.81419437,6.853476619
5138,-76.02459384,6.7498225
5113,-75.90686402,6.720698487
5306,-75.95154564,6.679573612
5042,-75.82666299,6.559037503
5125,-75.98418058,6.405730995
5044,-75.85374181,6.30217365
5093,-75.98421753,6.109033669
5631,-75.61538614,6.151332188
5380,-75.637965,6.156572683
5129,-75.63490246,6.092840285
5607,-75.50231331,6.06127756
5615,-75.37610117,6.145669983
5656,-75.72784549,6.443007816
5664,-75.56067241,6.461263848
5308,-75.44372946,6.379288405
5212,-75.50269503,6.358294328
5079,-75.33241579,6.439001139
5318,-75.44135909,6.277592591
5674,-75.33268536,6.285663578
5440,-75.33821858,6.173509976
5148,-75.33417548,6.083301125
5240,-75.76690502,6.327203672
5347,-75.734813,6.205977129
5059,-75.78703368,6.156214009
5036,-75.71136162,6.112895684
17001,-75.4877286,5.069720207
17873,-75.50356634,5.03985157
17380,-74.66830936,5.450650836
5809,-75.79239368,6.061704567
5030,-75.70178907,6.03577806
5209,-75.90837859,6.045976017
5353,-75.90726434,5.799308445
5101,-76.02281987,5.851010626
5642,-75.97649099,5.963568209
5576,-75.83918574,5.793330494
5091,-75.97920077,5.747324698
5368,-75.78513302,5.790652033
5789,-75.71424703,5.665121894
5856,-75.62474071,5.614643998
5145,-75.64535677,5.549040505
5364,-75.8202205,5.597688367
5034,-75.87927689,5.656830074
27245,-76.14211252,5.899954387
66383,-76.00321584,5.003315411
66400,-75.87833336,4.897968001
66440,-75.73853686,4.936612043
66456,-75.8821794,5.297456389
66572,-76.03082227,5.222035967
66594,-75.73073817,5.341134533
66682,-75.62409729,4.876450014
66687,-75.96422752,5.074594035
66001,-75.70034731,4.81599777
63190,-75.63585223,4.617276689
5376,-75.42800444,6.02974481
5400,-75.36060174,5.974297396
5002,-75.42894684,5.789485664
5467,-75.5237806,5.946508875
5679,-75.56793348,5.876009831
5390,-75.60582248,5.741974391
5282,-75.67437093,5.927671718
5756,-75.31032889,5.712734274
5652,-75.10188053,5.964118617
5055,-75.14274246,5.731507552
5483,-75.17494738,5.61094056
5697,-75.26543605,6.137060301
5197,-75.18563934,6.057835407
5660,-74.99442095,6.042811908
5649,-74.9930307,6.18792239
5313,-75.18386151,6.138867912
5541,-75.21238785,6.221623548
5321,-75.15874462,6.231778178
5667,-75.02827793,6.293895422
5021,-75.14135114,6.375878751
5206,-75.25758512,6.394170607
5658,-75.68411071,6.849684997
5086,-75.66686453,6.605379834
5264,-75.51718299,6.566594343
5761,-75.74583399,6.500835554
5501,-75.81220135,6.626591376
5411,-75.81219335,6.67777618
5038,-75.33497692,6.885310433
5315,-75.23974978,6.815001107
5310,-75.22172156,6.683982522
5150,-75.28363764,6.725931925
5686,-75.4601084,6.645116599
5237,-75.3941233,6.485830012
5858,-74.79816211,6.768610691
5885,-74.84152009,6.668661608
5890,-75.01384149,6.595323579
5670,-75.01951416,6.485600845
5690,-75.16519931,6.472469915
5190,-75.08673716,6.538872229
5579,-74.40713862,6.483691814
5585,-74.58344789,6.186479089
5591,-74.63881093,5.88453039
5142,-74.75762934,6.41024012
5425,-74.78804458,6.552992404
27660,-76.23431577,4.896163107
13052,-75.34732037,10.25364066
13062,-75.01932119,10.25027313
13188,-74.64553649,9.275370411
13212,-74.82751879,9.586609582
13222,-75.32567494,10.56767204
13244,-75.12140834,9.717671805
13248,-74.97537492,10.03109728
8001,-74.83103232,10.93013434
47707,-74.56756617,9.322573774
8675,-74.96004237,10.32437171
70418,-75.26815731,9.380172958
70742,-75.14668879,9.244449411
25040,-74.46379302,4.761660857
25086,-74.74124367,4.802678271
25095,-74.53970994,4.872035063
25099,-74.34442266,4.737487276
25123,-74.43596488,4.730928717
25148,-74.49099552,5.348088425
25168,-74.59365614,4.948932495
15572,-74.58247571,5.974704994
17013,-75.45426051,5.610538262
17042,-75.7840205,5.238019498
17050,-75.49077517,5.271496649
17088,-75.80435504,4.993507785
17174,-75.60719238,4.986369906
17272,-75.56230685,5.29729663
17388,-75.54578014,5.39697953
17433,-75.15235936,5.256257821
17442,-75.60075777,5.474501692
17444,-75.05305406,5.299451768
17446,-75.25986063,5.284233415
17486,-75.51979357,5.166362716
17495,-74.88920678,5.575224069
17513,-75.46003448,5.528633072
17524,-75.62286358,5.018665566
17541,-75.15932036,5.383665952
17614,-75.70234275,5.423900882
17616,-75.76799047,5.163520264
17653,-75.48737438,5.404215588
17662,-74.99240666,5.413022156
17665,-75.7916743,5.082588846
17777,-75.64945779,5.446022945
17867,-74.91117698,5.317426972
17877,-75.87053056,5.062809489
76054,-76.1209964,4.726956604
76246,-76.22161412,4.760879685
76823,-76.07795851,4.608657572
76147,-75.91231443,4.730929701
76041,-75.99294325,4.794328702
76243,-76.04127464,4.909778485
76020,-75.77989223,4.674010892
76845,-75.73875491,4.702809111
66170,-75.68183275,4.83694528
66075,-75.95847399,4.949378451
66088,-75.86851938,5.200764545
66318,-75.7990847,5.315843652
66045,-75.94164672,5.106370173
25269,-74.35306195,4.818179697
25320,-74.60344485,5.07243742
25328,-74.46736127,4.877941091
25386,-74.46127226,4.631284576
25394,-74.39093944,5.35891484
25398,-74.3941043,5.198824528
25402,-74.33738648,4.997826878
25797,-74.38933519,4.655348037
25019,-74.43831345,4.877954669
25489,-74.38664001,5.125521094
25491,-74.37894298,5.069574157
25572,-74.65422169,5.465015206
25580,-74.71422676,4.681872028
25592,-74.47994297,5.118184247
25596,-74.53346339,4.744733793
25645,-74.35182797,4.616074284
25662,-74.62166702,4.847248655
25718,-74.43297488,4.962064884
25823,-74.30190415,5.335767773
25851,-74.48355695,5.190846902
25862,-74.34549553,5.118071208
25867,-74.56135937,4.874904767
25875,-74.47292019,5.009379077
25885,-74.33845528,5.459489351
25898,-74.37984588,4.75985086
63272,-75.65805016,4.675005791
63594,-75.76354813,4.624497403
63690,-75.57061556,4.637509581
73030,-74.76460618,4.783610594
73043,-75.09418604,4.631237416
73055,-74.88428865,5.029919405
73152,-75.12039204,5.078845921
73270,-74.95178819,5.120065758
73283,-75.03622049,5.153536142
73347,-75.17825014,5.079893869
73349,-74.7559185,5.211243303
73408,-74.91164241,4.861204324
73411,-75.06140381,4.920296916
73443,-74.88948379,5.200213462
73461,-75.17073475,4.874573295
73520,-75.02336869,5.120428692
73686,-75.09751431,4.714043282
73861,-74.92938773,4.716760823
73870,-75.11748376,5.030221012
5792,-75.82281886,5.864785543
5861,-75.73501644,5.964078184
5490,-76.79023497,8.436004983
5659,-76.52862445,8.758877905
5051,-76.42679367,8.850045629
5665,-76.37935343,8.275998623
5837,-76.73182463,8.089931317
5147,-76.65398259,7.755033954
5172,-76.67722839,7.665894884
5480,-76.43673367,7.243905338
5234,-76.26302275,6.999970469
5475,-76.82001448,6.97690794
5045,-76.62101401,7.883042518
27006,-77.27864477,8.510887467
27800,-77.09426424,8.045985795
27372,-77.76247299,7.102862778
23419,-76.3547035,8.905709149
23574,-76.26145303,9.003732725
27150,-76.971915,7.156152093
27615,-77.11288502,7.436059326
5543,-75.90869987,7.022042943
13006,-74.55549743,8.567818623
70265,-74.53734053,8.46829523
5854,-75.43954175,7.163299124
5134,-75.29931988,6.980419787
5887,-75.41961267,6.965518675
5647,-75.67549664,6.917449402
5819,-75.69219489,7.010284982
5107,-75.55074301,7.112457183
5361,-75.76419575,7.171566314
5154,-75.19771712,7.978563037
5495,-74.77680312,8.088037103
5250,-74.80598906,7.599497821
5895,-74.86799231,7.488092803
5120,-75.35288694,7.574391214
5790,-75.40056881,7.579863914
5736,-74.69930219,7.079861184
5604,-74.69419557,7.029446297
5040,-75.14807891,7.078182895
70708,-75.1306696,8.6617696
70124,-75.11599691,8.788970162
70233,-75.19398572,9.107043515
70235,-75.04935157,9.159770337
70400,-75.28202587,8.853796416
70429,-74.62834968,8.541802327
70670,-75.37919792,9.182403533
70678,-75.03138185,8.92988959
70771,-74.72323247,8.814039859
13458,-74.47391398,8.295590733
13549,-74.46187997,8.914748587
13655,-74.72232369,8.249633706
23068,-75.14701974,8.311090964
23079,-75.48200462,8.222242499
23090,-76.24077487,8.787552693
23162,-75.79240745,8.885295866
23182,-75.40029562,9.105932134
23189,-75.62212674,8.878135724
23350,-75.33469117,8.047766699
23466,-75.41849058,7.977876187
23555,-75.58420523,8.407985084
23570,-75.50819029,8.502612723
23580,-75.67203028,7.8892301
23660,-75.4455166,8.943510473
23678,-75.69904603,8.799176792
23686,-75.83553814,8.95814737
23807,-76.06018699,8.171880414
23855,-76.14992425,8.257214903
23001,-75.89843407,8.759480009
23670,-75.50871705,9.145182708
23168,-75.62853508,9.149406274
23300,-75.7911881,9.038850171
23682,-75.53488477,7.78692706
23815,-75.55516684,9.186501741
88001,-81.70720079,12.57992492
88564,-81.36642922,13.37485295
13873,-75.2758015,10.44420605
13894,-74.8190171,9.747499258
13430,-74.76981717,9.247280943
13836,-75.42156987,10.33923049
13620,-75.0646595,10.3938805
13140,-74.91573561,10.25109223
70001,-75.40768352,9.308844628
70110,-74.97388047,9.319648651
70204,-75.35611072,9.490997576
70221,-75.66613605,9.405849809
70230,-75.31281692,9.545852746
70473,-75.30783863,9.332256034
70508,-75.22882749,9.525983167
70523,-75.54120728,9.333144678
70702,-75.24317184,9.274557846
70713,-75.5237674,9.736898368
70717,-75.06379486,9.396056328
70820,-75.58182659,9.530976311
70823,-75.43968714,9.453223237
70215,-75.29373782,9.318952103
47205,-74.82894871,10.25616571
47258,-74.82319825,10.40310952
47460,-74.39206432,9.806141936
47541,-74.91512662,10.18784042
47545,-74.45770422,9.331662875
47551,-74.61536303,10.46134181
47555,-74.7834136,9.792811112
47605,-74.71652082,10.70184958
47675,-74.79316949,10.49004644
47692,-74.3514208,9.240736694
47703,-74.49900295,9.244525066
47720,-74.70536267,9.431614808
47745,-74.72311565,10.78080877
47798,-74.85760644,9.89826555
47960,-74.71711233,10.16935015
13001,-75.50108744,10.35939031
13433,-75.19068683,10.23317565
13442,-75.30181075,9.983858716
13468,-74.42553849,9.240598513
13647,-75.15278299,10.39880967
13654,-75.12175258,9.830728069
13657,-75.08362438,9.951340087
13673,-75.28728195,10.60477043
13683,-75.36957576,10.44509322
13760,-75.13546903,10.39045021
13780,-74.56785295,9.303987286
13838,-75.44187336,10.27366058
47161,-74.8687568,10.32643329
47170,-74.62478481,10.02907589
23417,-75.8169036,9.240243523
23500,-76.1297061,9.246339042
23586,-75.72256356,9.238091566
23672,-75.76066992,9.375088658
23675,-75.95408158,9.353893004
8078,-74.916377,10.79337278
8137,-74.88124052,10.37862464
8141,-74.88004207,10.4606553
8296,-74.88374732,10.90277604
8758,-74.76555696,10.91327107
8372,-75.03981542,10.83177696
8421,-75.14244519,10.61060424
23464,-75.67669511,9.239982386
25899,-73.9854321,5.03025857
68377,-73.96500846,5.859268011
68773,-73.79152169,5.918479002
25781,-73.85306634,5.24735025
68861,-73.67281214,6.008044472
68327,-73.57394825,6.025307358
68179,-73.63742401,6.061735987
68770,-73.44269803,6.098340716
68673,-73.50952713,6.126648033
68264,-73.09934486,6.138202368
68013,-73.5223764,6.161727039
8433,-74.78260451,10.87289719
8436,-74.95984648,10.44818039
8549,-75.10759383,10.75031804
8558,-74.85349591,10.77752996
8520,-74.75379755,10.74048162
8560,-74.7529667,10.64185694
8573,-74.95090172,10.99729594
8606,-75.12429908,10.49451467
8634,-74.75659102,10.79036843
8638,-74.92244303,10.62779704
8685,-74.75569109,10.76020479
8832,-74.97800649,10.87360333
8770,-74.88033092,10.33404361
8849,-74.9765506,10.74241583
68397,-73.58963205,6.178568783
68385,-73.80915266,6.219377949
68245,-73.497028,6.245335106
68320,-73.41901635,6.24608589
68500,-73.30044028,6.267493588
68344,-73.30831758,6.543744518
68679,-73.13607839,6.554290611
68686,-72.64537608,6.576208065
68121,-73.24658975,6.591719143
68229,-73.06885213,6.604936416
68152,-72.62645021,6.626725457
68207,-72.69431466,6.768962299
68669,-72.84887567,6.812508047
68895,-73.27138398,6.813865819
68296,-73.28747946,6.63941305
68079,-73.22308602,6.636246377
68573,-74.0563484,6.651372037
68684,-72.73342205,6.658656194
25175,-74.05767135,4.854823946
68101,-73.77096641,5.986857699
68250,-73.81438542,6.056581744
15218,-72.73903557,6.500261954
85001,-72.39683123,5.321421802
85010,-72.55263073,5.169958568
85015,-72.86996672,5.214081969
85162,-72.89389473,4.877629436
85279,-72.76095453,5.229123419
85300,-73.03918825,4.85336694
85410,-72.74902288,5.014123309
85440,-72.92691543,4.61079119
68020,-73.91413709,5.758987772
68271,-73.97102037,5.804936085
68368,-73.78283728,5.876518353
68572,-73.67756339,5.878177995
68298,-73.34376331,5.945767119
68077,-73.61613353,5.932577475
68324,-73.70069384,5.955048351
68167,-73.14645309,6.285791734
68217,-73.0405508,6.295493364
68211,-73.47444005,6.29045126
68322,-73.32095499,6.308377296
68190,-73.94969707,6.314510325
68720,-73.61633038,6.338689574
68498,-73.12233318,6.340056424
68176,-73.37316682,6.34197499
68502,-72.8124448,6.343873581
68209,-73.24115287,6.35696025
68524,-73.28799851,6.40591869
68533,-73.17015989,6.41663363
68682,-72.86774575,6.427538577
68745,-73.33743571,6.443474922
68855,-73.14362249,6.448000288
68755,-73.26159732,6.462485963
68464,-72.97049617,6.475337707
68425,-72.5933274,6.506757259
68549,-73.17268485,6.532574101
68147,-72.69543501,6.526752262
68522,-73.2912739,6.538262634
68266,-72.70013298,6.669719595
68468,-72.80891128,6.674323479
68872,-73.17437088,6.669364585
68051,-73.01762164,6.694472503
68235,-73.51158478,6.698658719
68432,-72.72952657,6.703321758
68370,-73.09603912,6.732333966
68160,-72.97464565,6.753462325
68418,-73.10204348,6.755878666
25126,-74.02364951,4.920874713
25154,-73.90132818,5.349218726
25183,-73.68343129,5.145380897
25200,-73.97831816,5.061789131
25214,-74.10243653,4.809081779
25224,-73.76626641,5.249943647
68162,-72.69531355,6.841373838
68318,-72.85578015,6.876049979
68689,-73.4114878,6.87875071
15180,-72.50017174,6.552999687
15244,-72.4450722,6.409235422
15248,-72.49635968,6.482601865
15317,-72.50063794,6.459700438
15332,-72.41209606,6.462917237
15522,-72.45915798,6.443283694
15673,-72.55498155,6.401822163
15097,-72.58481457,6.33066519
15183,-72.47134654,6.187242522
15368,-72.57036996,6.146043406
15403,-72.55947697,6.316781718
15720,-72.70816845,6.131319078
15723,-72.71222376,6.09347405
15753,-72.68346126,6.333312091
15774,-72.68982915,6.230761117
15810,-72.69229422,6.419572041
15377,-72.57825461,5.562567443
15533,-72.4223571,5.626372822
15550,-72.48277137,5.723445677
15755,-72.63654923,6.040831593
15047,-72.88439748,5.518289414
15087,-72.91129945,5.988321352
15092,-72.80904475,5.91046537
15114,-72.88407565,5.830130214
15162,-72.94776596,5.955961021
15215,-72.84449154,5.828365249
15226,-72.96617617,5.580244263
15272,-72.99376776,5.669102113
15276,-72.91845123,5.859765791
15296,-72.80557111,5.802370121
15362,-72.98021686,5.613927962
15464,-72.80024988,5.752811642
15466,-72.84892534,5.723342778
15491,-72.93731397,5.768064996
15518,-72.7026126,5.293776161
15537,-72.74861207,5.987491614
15693,-72.98243259,5.874722106
15757,-72.69162768,5.996930903
15759,-72.91949819,5.736554666
15790,-72.78116164,5.909962604
15806,-72.99969274,5.74713654
15820,-72.83162214,5.769325343
15822,-72.9858353,5.560470054
15839,-72.85639178,6.032460654
15051,-73.43703416,5.754497031
15185,-73.44690349,6.027363064
15187,-73.28246831,5.558688679
15204,-73.3238934,5.634316731
15224,-73.45459221,5.543020261
15232,-73.484932,5.605299316
15293,-73.5493682,5.751952757
15407,-73.52650486,5.636223943
15469,-73.57374662,5.876958223
15476,-73.36771044,5.577524667
15500,-73.30816805,5.594396812
15516,-73.11630113,5.780320016
15542,-73.05093915,5.55842835
15600,-73.63234316,5.538720905
15638,-73.54249386,5.582920177
15664,-73.546225,6.018779185
15686,-73.48217823,6.057456442
15696,-73.60265821,5.713547935
15762,-73.44993495,5.566816169
15763,-73.24727584,5.765149897
15776,-73.62061781,5.620127617
15808,-73.64720365,5.579002753
15814,-73.1845674,5.56539974
15816,-73.51362365,5.93753224
15837,-73.22824052,5.690066604
15106,-73.92336076,5.69014989
15109,-73.94260977,5.512833526
15131,-73.86536708,5.554452858
15176,-73.81766214,5.61548086
15212,-74.04509396,5.475376516
15401,-74.23466234,5.523503641
