COD_CIUDAD_MUNI,NombreMun,NombreDep,MunDep,longitude,latitude
50689,San Martín,Meta,San Martín Meta,-73.69597915,3.701613502
50270,El Dorado,Meta,El Dorado Meta,-73.83516911,3.739131544
50223,Cubarral,Meta,Cubarral Meta,-73.83848709,3.794158472
50150,Castilla la Nueva,Meta,Castilla la Nueva Meta,-73.68902144,3.82748251
50318,Guamal,Meta,Guamal Meta,-73.77083737,3.879885131
91536,Puerto Arica,Amazonas,Puerto Arica Amazonas,-71.75460172,-2.149537923
97666,Taraira,Vaupés,Taraira Vaupés,-69.63403372,-0.56467446
25740,Sibaté,Cundinamarca,Sibaté Cundinamarca,-74.25757291,4.49129757
94343,Barranco Minas,Guainía,Barranco Minas Guainía,-69.81507388,3.494365009
94883,San Felipe,Guainía,San Felipe Guainía,-67.07953782,1.898553404
94886,Cacahual,Guainía,Cacahual Guainía,-67.4125554,3.526136619
94001,Inírida,Guainía,Inírida Guainía,-67.92386589,3.867934176
25151,Caqueza,Cundinamarca,Caqueza Cundinamarca,-73.94658443,4.403667486
25178,Chipaque,Cundinamarca,Chipaque Cundinamarca,-74.04460891,4.442532263
25181,Choachí,Cundinamarca,Choachí Cundinamarca,-73.92268602,4.528358057
50350,La Macarena,Meta,La Macarena Meta,-73.78691359,2.182113956
50450,Puerto Concordia,Meta,Puerto Concordia Meta,-72.75710138,2.623799012
50325,Mapiripán,Meta,Mapiripán Meta,-72.13325166,2.892011286
50590,Puerto Rico,Meta,Puerto Rico Meta,-73.20748882,2.941654469
50711,Vistahermosa,Meta,Vistahermosa Meta,-73.75128309,3.12771952
50577,Puerto Lleras,Meta,Puerto Lleras Meta,-73.37256465,3.271892128
50683,San Juan de Arama,Meta,San Juan de Arama Meta,-73.87499562,3.37228525
50330,Mesetas,Meta,Mesetas Meta,-74.04437194,3.382246905
50006,Acacías,Meta,Acacías Meta,-73.76780937,3.990343882
50573,Puerto López,Meta,Puerto López Meta,-72.95586872,4.092860555
50001,Villavicencio,Meta,Villavicencio Meta,-73.65055075,4.111799377
50606,Restrepo,Meta,Restrepo Meta,-73.56348624,4.261174757
50226,Cumaral,Meta,Cumaral Meta,-73.48615275,4.268788883
50124,Cabuyaro,Meta,Cabuyaro Meta,-72.79275183,4.285091091
50568,Puerto Gaitán,Meta,Puerto Gaitán Meta,-72.08296467,4.312038456
50245,El Calvario,Meta,El Calvario Meta,-73.71346523,4.352173288
50686,San Juanito,Meta,San Juanito Meta,-73.67627447,4.458193807
50110,Barranca de Upía,Meta,Barranca de Upía Meta,-72.96546299,4.567446679
25754,Soacha,Cundinamarca,Soacha Cundinamarca,-74.22417846,4.56268246
25335,Guayabetal,Cundinamarca,Guayabetal Cundinamarca,-73.81704211,4.217072057
25339,Gutiérrez,Cundinamarca,Gutiérrez Cundinamarca,-74.00315011,4.255454591
25438,Medina,Cundinamarca,Medina Cundinamarca,-73.3501414,4.508022687
25279,Fomeque,Cundinamarca,Fomeque Cundinamarca,-73.89292051,4.485728461
25281,Fosca,Cundinamarca,Fosca Cundinamarca,-73.93930566,4.338738028
25530,Paratebueno,Cundinamarca,Paratebueno Cundinamarca,-73.21230213,4.375004374
25594,Quetame,Cundinamarca,Quetame Cundinamarca,-73.86294541,4.329848086
25841,Ubaque,Cundinamarca,Ubaque Cundinamarca,-73.9341846,4.483791064
25845,Une,Cundinamarca,Une Cundinamarca,-74.02519387,4.402564723
91001,Leticia,Amazonas,Leticia Amazonas,-69.94550213,-4.203203892
91540,Puerto Nariño,Amazonas,Puerto Nariño Amazonas,-70.35643753,-3.789898495
91798,Tarapacá,Amazonas,Tarapacá Amazonas,-69.74161524,-2.891357241
91263,El Encanto,Amazonas,El Encanto Amazonas,-73.20927867,-1.74708168
91530,Puerto Alegría,Amazonas,Puerto Alegría Amazonas,-74.01433125,-1.005488913
91405,La Chorrera,Amazonas,La Chorrera Amazonas,-72.78920811,-1.443690917
91407,La Pedrera,Amazonas,La Pedrera Amazonas,-69.57839951,-1.322435781
91669,Puerto Santander,Amazonas,Puerto Santander Amazonas,-72.38325603,-0.622290435
99773,Cumaribo,Vichada,Cumaribo Vichada,-69.79855397,4.444511544
95001,San José del Guaviare,Guaviare,San José del Guaviare Guaviare,-72.63827352,2.566984746
95015,Calamar,Guaviare,Calamar Guaviare,-72.6549567,1.958593541
95025,El Retorno,Guaviare,El Retorno Guaviare,-72.62797003,2.330805259
95200,Miraflores,Guaviare,Miraflores Guaviare,-71.95125353,1.336803343
5873,Vigía del Fuerte,Antioquia,Vigía del Fuerte Antioquia,-76.89637517,6.588734326
27075,Bahía Solano,Chocó,Bahía Solano Chocó,-77.40379934,6.224409281
27077,Bajo Baudó,Chocó,Bajo Baudó Chocó,-77.36601204,4.953454213
27099,Bojaya,Chocó,Bojaya Chocó,-76.89511656,6.568944429
27135,El Cantón del San Pablo,Chocó,El Cantón del San Pablo Chocó,-76.72724289,5.335328467
27160,Cértegui,Chocó,Cértegui Chocó,-76.60859157,5.371869757
27205,Condoto,Chocó,Condoto Chocó,-76.65041938,5.091332849
27361,Istmina,Chocó,Istmina Chocó,-76.686044,5.153281441
27413,Lloró,Chocó,Lloró Chocó,-76.54254846,5.499904234
27425,Medio Atrato,Chocó,Medio Atrato Chocó,-76.78118809,5.994316213
27430,Medio Baudó,Chocó,Medio Baudó Chocó,-77.05220932,5.050773304
27491,Nóvita,Chocó,Nóvita Chocó,-76.60709069,4.956037283
27495,Nuquí,Chocó,Nuquí Chocó,-77.266578,5.708557739
27580,Río Iro,Chocó,Río Iro Chocó,-76.47236056,5.185409754
27001,Quibdó,Chocó,Quibdó Chocó,-76.65069683,5.68418034
27025,Alto Baudo,Chocó,Alto Baudo Chocó,-76.97466051,5.516077312
27050,Atrato,Chocó,Atrato Chocó,-76.63609193,5.530768033
27073,Bagadó,Chocó,Bagadó Chocó,-76.41598377,5.411658353
27600,Río Quito,Chocó,Río Quito Chocó,-76.73926741,5.48338233
27745,Sipí,Chocó,Sipí Chocó,-76.64409966,4.653165974
27787,Tadó,Chocó,Tadó Chocó,-76.55894668,5.264411843
27810,Unión Panamericana,Chocó,Unión Panamericana Chocó,-76.6293712,5.281265958
27450,Medio San Juan,Chocó,Medio San Juan Chocó,-76.69555192,5.09655112
5284,Frontino,Antioquia,Frontino Antioquia,-76.13125145,6.775527538
5004,Abriaquí,Antioquia,Abriaquí Antioquia,-76.06478052,6.633806054
5847,Urrao,Antioquia,Urrao Antioquia,-76.13226736,6.313944318
5001,Medellín,Antioquia,Medellín Antioquia,-75.55169559,6.290507178
5360,Itagui,Antioquia,Itagui Antioquia,-75.6284342,6.166018912
5266,Envigado,Antioquia,Envigado Antioquia,-75.57280089,6.16876664
5088,Bello,Antioquia,Bello Antioquia,-75.54449207,6.327056194
5628,Sabanalarga,Antioquia,Sabanalarga Antioquia,-75.81419437,6.853476619
5138,Cañasgordas,Antioquia,Cañasgordas Antioquia,-76.02459384,6.7498225
5113,Buriticá,Antioquia,Buriticá Antioquia,-75.90686402,6.720698487
5306,Giraldo,Antioquia,Giraldo Antioquia,-75.95154564,6.679573612
5042,Santafé de Antioquia,Antioquia,Santafé de Antioquia Antioquia,-75.82666299,6.559037503
5125,Caicedo,Antioquia,Caicedo Antioquia,-75.98418058,6.405730995
5044,Anza,Antioquia,Anza Antioquia,-75.85374181,6.30217365
5093,Betulia,Antioquia,Betulia Antioquia,-75.98421753,6.109033669
5631,Sabaneta,Antioquia,Sabaneta Antioquia,-75.61538614,6.151332188
5380,La Estrella,Antioquia,La Estrella Antioquia,-75.637965,6.156572683
5129,Caldas,Antioquia,Caldas Antioquia,-75.63490246,6.092840285
5607,Retiro,Antioquia,Retiro Antioquia,-75.50231331,6.06127756
5615,Rionegro,Antioquia,Rionegro Antioquia,-75.37610117,6.145669983
5656,San Jerónimo,Antioquia,San Jerónimo Antioquia,-75.72784549,6.443007816
5664,San Pedro,Antioquia,San Pedro Antioquia,-75.56067241,6.461263848
5308,Girardota,Antioquia,Girardota Antioquia,-75.44372946,6.379288405
5212,Copacabana,Antioquia,Copacabana Antioquia,-75.50269503,6.358294328
5079,Barbosa,Antioquia,Barbosa Antioquia,-75.33241579,6.439001139
5318,Guarne,Antioquia,Guarne Antioquia,-75.44135909,6.277592591
5674,San Vicente,Antioquia,San Vicente Antioquia,-75.33268536,6.285663578
5440,Marinilla,Antioquia,Marinilla Antioquia,-75.33821858,6.173509976
5148,El Carmen de Viboral,Antioquia,El Carmen de Viboral Antioquia,-75.33417548,6.083301125
5240,Ebéjico,Antioquia,Ebéjico Antioquia,-75.76690502,6.327203672
5347,Heliconia,Antioquia,Heliconia Antioquia,-75.734813,6.205977129
5059,Armenia,Antioquia,Armenia Antioquia,-75.78703368,6.156214009
5036,Angelópolis,Antioquia,Angelópolis Antioquia,-75.71136162,6.112895684
17001,Manizales,Caldas,Manizales Caldas,-75.4877286,5.069720207
17873,Villamaría,Caldas,Villamaría Caldas,-75.50356634,5.03985157
17380,La Dorada,Caldas,La Dorada Caldas,-74.66830936,5.450650836
5809,Titiribí,Antioquia,Titiribí Antioquia,-75.79239368,6.061704567
5030,Amagá,Antioquia,Amagá Antioquia,-75.70178907,6.03577806
5209,Concordia,Antioquia,Concordia Antioquia,-75.90837859,6.045976017
5353,Hispania,Antioquia,Hispania Antioquia,-75.90726434,5.799308445
5101,Ciudad Bolívar,Antioquia,Ciudad Bolívar Antioquia,-76.02281987,5.851010626
5642,Salgar,Antioquia,Salgar Antioquia,-75.97649099,5.963568209
5576,Pueblorrico,Antioquia,Pueblorrico Antioquia,-75.83918574,5.793330494
5091,Betania,Antioquia,Betania Antioquia,-75.97920077,5.747324698
